x,Curve1
1.5386,0.1929
1.6268,0.0774
1.693,-0.0435
1.7769,0.0058
1.8724,-0.1097
1.938,-0.0329
2.0399,0.0769
2.0881,-0.099
2.2012,-0.0168
2.281,0.148
2.3693,0.005
2.4429,-0.1215
2.5339,-0.0227
2.6142,0.0101
2.6948,-0.0394
2.7824,0.0209
2.8553,0.0757
2.942,0.3613
3.0375,1.2513
3.113,1.0891
3.2043,1.133
3.287,1.0175
3.3672,1.075
3.4417,0.7068
3.5379,0.8825
3.6187,0.7807
3.7054,0.5828
3.7841,0.547
3.8704,0.448
3.951,0.3957
4.0349,0.456
4.1322,0.357
4.2049,0.4503
4.2823,0.3046
4.3682,0.2989
4.46,0.1944
4.5383,0.2822
4.6261,0.2491
4.6992,0.2628
4.7927,0.1967
4.8695,0.1801
4.9478,0.2844
5.0375,0.2321
5.1217,0.2182
5.2186,0.2209
5.2881,0.196
5.3726,0.1053
5.4582,0.1738
5.5553,0.1215
5.6321,0.1076
5.7125,0.1185
5.7949,0.1047
5.8845,0.1018
5.9485,0.0962
6.038,0.0934
6.1257,0.1097
6.2027,0.0574
6.2905,0.0573
6.3874,0.0544
6.4713,0.1037
6.5609,0.0926
6.6211,0.1255
6.7163,0.0897
6.8078,0.0593
6.8627,0.0428
6.963,0.1196
7.0471,0.1112
7.1404,0.1111
7.2191,0.0698
7.2995,0.0806
7.3798,0.1355
7.444,0.0612
7.5608,0.1105
7.6195,0.0774
7.7274,0.0691
7.7913,0.0662
7.8808,0.0881
7.9633,0.0413
8.0237,0.0302
8.1371,-0.0029
8.221,0.0464
8.2815,0.0106
8.3964,0.0764
8.4698,0.0048
8.5431,-0.0474
8.6324,0.0376
8.6964,0.021
8.7788,0.0017
8.8813,-0.0232
8.978,0.0206
9.0548,0.015
9.1499,0.0149
9.2248,0.0203
9.3052,0.0147
9.3675,-0.0046
9.4624,0.0227
9.5556,0.0501
9.6124,-0.005
9.7111,0.0059
9.8061,0.0195
9.874,-0.041
9.9578,0.033
10.0492,0.0356
10.1317,-0.0112
10.2086,-0.0607
10.3021,-0.1131
10.3804,-0.0527
10.4553,-0.0308
