x,Curve1
1.5501,81.64
1.6317,95.99
1.7334,101.11
1.8026,88.52
1.8934,92.44
1.9788,91.76
2.0368,96.67
2.1422,93.15
2.2495,91.18
2.3023,81.1
2.3875,94.53
2.4564,103.48
2.5583,89.64
2.6345,100.56
2.7181,98.61
2.8109,84.39
2.8891,83.05
2.963,134.64
3.0531,238.59
3.1317,701.47
3.2327,1221.5
3.3103,1905.7
3.3827,2394.6
3.4587,2982.8
3.5422,3142
3.6255,3934.2
3.7071,4405.4
3.7997,4632.3
3.8796,4720.6
3.9576,5095.7
4.0467,4988.3
4.1229,5310.1
4.2047,5162.1
4.2755,5409.6
4.3646,5176.7
4.4518,4962.5
4.5426,5092.2
4.619,4907.4
4.7008,4712.7
4.7788,4981.8
4.8697,4928
4.9569,4815.7
5.0332,4722.6
5.1296,4527.1
5.1859,4621.8
5.2986,4361.1
5.3696,3871.8
5.4622,4035.9
5.5403,3944.1
5.604,3861.3
5.7021,3714.3
5.7839,3629.7
5.8729,3578.1
5.962,3508.7
6.0529,3328.5
6.1128,3464
6.1927,3385.1
6.2891,3273.4
6.3672,3283.8
6.4399,3203.5
6.538,3264.3
6.6125,3064.5
6.698,2922.4
6.7652,2841.1
6.8561,2733.1
6.9506,2794.7
7.0323,2764.6
7.0978,2664.4
7.1723,2608.4
7.2904,2579.9
7.3541,2396.9
7.4413,2400.2
7.5231,2301
7.6121,2240.7
7.6975,2255.6
7.7775,2169.9
7.852,2116.8
7.9429,2072.2
8.0228,2093.3
8.1137,1985.8
8.2009,1967.8
8.2791,1974
8.3663,1899
8.4372,1842.9
8.5299,1748.2
8.6099,1738.5
8.7007,1753.1
8.7952,1668.8
8.8533,1706.7
8.9406,1621.9
9.0296,1593.2
9.1078,1508.8
9.1914,1479.6
9.275,1471.3
9.3423,1413
9.4349,1400.2
9.5312,1407
9.6166,1396.7
9.7148,1360.1
9.7493,1327.1
9.8547,1281
9.9584,1204.5
10.0093,1175.2
10.1019,1142.4
10.1891,1184.6
10.2691,1165.8
10.349,1208.9
10.429,1138.9
